"","track_popularity","track_album_release_date","playlist_genre","playlist_subgenre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","track_age"
"26",63,2019-06-21,"pop","dance pop",0.675,0.76,"11",-7.037,"1",0.0434,0.104,0,0.33,0.468,124.933,172800,222
"27",66,2019-08-09,"pop","dance pop",0.682,0.851,"1",-7.117,"0",0.0363,0.0146,0.000834,0.0289,0.348,126,192381,173
"28",8,2019-02-01,"pop","dance pop",0.663,0.905,"1",-3.781,"0",0.0511,0.0325,0,0.333,0.397,125.996,175000,362
"29",62,2019-05-23,"pop","dance pop",0.625,0.938,"6",-3.983,"1",0.0517,0.00432,0.00026,0.0923,0.371,127.997,166875,251
"30",30,2019-04-19,"pop","dance pop",0.679,0.909,"1",-2.929,"1",0.105,0.0334,0,0.269,0.819,119.885,155080,285
"31",56,2019-11-01,"pop","dance pop",0.641,0.869,"11",-4.754,"1",0.0423,0.0319,0.00131,0.403,0.358,128.091,178125,89
"32",56,2018-11-30,"pop","dance pop",0.702,0.814,"0",-7.51,"0",0.0841,0.107,3.03e-05,0.374,0.503,121.993,172000,425
"33",58,2018-11-23,"pop","dance pop",0.723,0.837,"11",-6.487,"1",0.0389,0.0103,0.000477,0.0834,0.643,123.952,177097,432
"34",60,2019-09-05,"pop","dance pop",0.742,0.864,"0",-5.06,"1",0.0976,0.00141,0.00467,0.241,0.727,125.032,169935,146
"35",60,2019-11-22,"pop","dance pop",0.716,0.815,"10",-4.121,"1",0.0533,0.108,0,0.163,0.351,124.975,220413,68
"36",55,2019-06-21,"pop","dance pop",0.748,0.831,"1",-5.029,"1",0.115,0.0823,7.36e-05,0.0757,0.894,128.024,185273,222
"37",59,2018-11-30,"pop","dance pop",0.816,0.833,"5",-5.972,"1",0.0511,0.126,9.09e-06,0.0625,0.793,122.032,170164,425
"38",63,2018-07-25,"pop","dance pop",0.633,0.854,"0",-4.046,"0",0.0432,0.0382,2.83e-05,0.434,0.659,126.026,172360,553
"39",67,2019-07-12,"pop","dance pop",0.563,0.81,"2",-2.921,"1",0.0522,0.00522,0,0.0846,0.495,129.975,247385,201
"40",55,2019-06-27,"pop","dance pop",0.728,0.815,"11",-2.878,"0",0.046,0.00223,0.000317,0.101,0.681,124.019,218015,216
"41",56,2019-10-25,"pop","dance pop",0.846,0.773,"5",-3.503,"1",0.0473,0.0141,2.23e-05,0.204,0.586,124.008,200444,96
"42",87,2019-06-28,"pop","dance pop",0.693,0.678,"8",-7.159,"1",0.0324,0.0154,6.05e-06,0.101,0.404,103.952,228267,215
"43",62,2019-10-18,"pop","dance pop",0.678,0.928,"3",-3.66,"0",0.0597,0.0303,3.33e-05,0.143,0.663,116.892,150160,103
"44",83,2019-07-11,"pop","dance pop",0.67,0.453,"0",-11.265,"1",0.295,0.252,0.33,0.117,0.68,135.055,194840,202
"45",55,2019-11-01,"pop","dance pop",0.755,0.931,"1",-4.104,"0",0.0606,0.132,0.0271,0.0854,0.288,122.041,177466,89
"46",61,2019-05-24,"pop","dance pop",0.622,0.859,"5",-7.626,"1",0.0636,0.000609,0.746,0.0909,0.442,121.968,218373,250
"47",56,2019-10-25,"pop","dance pop",0.789,0.893,"10",-4.364,"0",0.168,0.0538,0,0.221,0.41,121.956,144073,96
"48",57,2019-08-09,"pop","dance pop",0.64,0.838,"6",-4.203,"1",0.0416,0.0588,1.99e-05,0.0424,0.587,124.081,193861,173
"49",56,2019-06-14,"pop","dance pop",0.609,0.764,"5",-4.564,"0",0.111,0.0994,0,0.197,0.531,128.082,200625,229
"50",53,2019-09-27,"pop","dance pop",0.64,0.992,"4",-3.318,"0",0.0585,0.0832,0.0083,0.109,0.479,123.951,166237,124
"51",56,2019-01-25,"pop","dance pop",0.75,0.81,"0",-4.607,"0",0.0572,0.0917,1.59e-05,0.111,0.48,120.038,171500,369
"52",34,2019-11-12,"pop","dance pop",0.535,0.956,"1",-2.996,"0",0.0343,0.000609,0.0109,0.262,0.12,127.984,266719,78
"53",74,2019-04-29,"pop","dance pop",0.766,0.771,"6",-9.108,"1",0.0576,0.00407,3.76e-06,0.113,0.297,140.036,204027,275
"54",46,2019-11-15,"pop","dance pop",0.649,0.821,"10",-4.952,"0",0.0472,0.017,0.000347,0.0655,0.394,125.977,203968,75
"55",63,2018-10-19,"pop","dance pop",0.588,0.697,"3",-4.744,"0",0.0372,0.186,0.000219,0.103,0.225,125.157,190417,467
"56",55,2019-12-12,"pop","dance pop",0.355,0.789,"5",-4.358,"0",0.165,0.0148,0,0.0355,0.169,80.444,237686,48
"57",52,2019-11-01,"pop","dance pop",0.542,0.84,"0",-5.283,"0",0.0419,0.0336,8.45e-05,0.277,0.509,118.02,180361,89
"58",67,2019-11-01,"pop","dance pop",0.735,0.5,"8",-11.297,"1",0.0511,0.415,3.12e-05,0.13,0.119,126.1,139048,89
"59",63,2019-08-09,"pop","dance pop",0.752,0.84,"6",-4.451,"0",0.0373,0.00486,0.0109,0.0916,0.461,124.002,279800,173
"60",60,2019-08-23,"pop","dance pop",0.748,0.903,"3",-5.877,"0",0.0385,0.0324,0,0.106,0.751,115.018,217043,159
"61",45,2019-12-27,"pop","dance pop",0.607,0.955,"7",-3.613,"0",0.102,0.0163,0.121,0.0725,0.501,125.984,230476,33
"62",58,2019-07-11,"pop","dance pop",0.607,0.995,"9",-2.325,"0",0.0487,0.0921,0.002,0.0445,0.664,124.998,188640,202
"63",51,2019-09-12,"pop","dance pop",0.679,0.786,"1",-6.918,"0",0.132,0.119,5.89e-06,0.224,0.47,126.092,196613,139
"64",58,2019-11-15,"pop","dance pop",0.714,0.801,"5",-5.8,"0",0.0301,0.0204,0.00615,0.334,0.292,124.015,210000,75
"65",56,2018-09-28,"pop","dance pop",0.69,0.862,"2",-4.154,"1",0.0944,0.0611,1.85e-05,0.238,0.453,121.975,187869,488
"66",60,2019-03-27,"pop","dance pop",0.775,0.867,"4",-7.388,"0",0.204,0.0158,0.0117,0.0355,0.565,128.956,273229,308
"67",48,2019-10-11,"pop","dance pop",0.814,0.838,"11",-5.547,"1",0.0763,0.001,0.0223,0.0185,0.959,121.978,255861,110
"68",56,2019-10-04,"pop","dance pop",0.784,0.779,"8",-5.48,"1",0.0387,0.0357,0.025,0.0245,0.459,124.994,216714,117
"69",56,2019-09-13,"pop","dance pop",0.367,0.783,"6",-4.504,"1",0.154,0.00515,0,0.0545,0.289,88.013,192653,138
"70",65,2018-02-09,"pop","dance pop",0.609,0.83,"6",-3.759,"0",0.0793,0.201,6.18e-05,0.0321,0.604,117.833,238451,719
"71",39,2019-05-31,"pop","dance pop",0.591,0.702,"7",-5.59,"1",0.0289,0.225,0,0.414,0.501,104.003,217653,243
"72",83,2019-05-24,"pop","dance pop",0.59,0.642,"7",-3.87,"1",0.122,0.0771,0,0.105,0.651,107.356,174444,250
"73",83,2019-03-08,"pop","dance pop",0.791,0.565,"5",-3.933,"0",0.0439,0.0623,0,0.156,0.181,99.961,156347,327
"74",71,2019-07-12,"pop","dance pop",0.564,0.747,"5",-3.374,"1",0.0584,0.0728,0,0.151,0.717,97.878,165767,201
"75",81,2019-04-12,"pop","dance pop",0.669,0.801,"8",-5.445,"1",0.136,0.268,0,0.0594,0.541,109.919,201072,292
"76",85,2019-05-31,"pop","dance pop",0.77,0.882,"8",-4.792,"1",0.0602,0.194,0,0.316,0.385,99.991,223523,243
"77",76,2019-03-27,"pop","dance pop",0.513,0.788,"0",-4.629,"1",0.0364,0.00968,0,0.11,0.234,139.987,238459,308
"78",71,2019-05-03,"pop","dance pop",0.72,0.864,"0",-3.249,"1",0.208,0.0856,0,0.16,0.659,96.048,191612,271
"79",65,2019-10-04,"pop","dance pop",0.789,0.858,"5",-4.388,"1",0.0404,0.22,4.58e-05,0.335,0.491,110.012,173455,117
"80",67,2019-07-24,"pop","dance pop",0.294,0.505,"3",-8.106,"1",0.042,0.12,0,0.0977,0.357,85.332,209893,189
"81",74,2019-06-21,"pop","dance pop",0.665,0.799,"6",-2.868,"0",0.0617,0.18,0,0.125,0.5,101.976,228112,222
"82",81,2019-03-22,"pop","dance pop",0.46,0.8,"1",-3.584,"1",0.05,0.289,6.16e-06,0.121,0.553,102.46,220396,313
"83",71,2019-06-14,"pop","dance pop",0.362,0.921,"1",-3.815,"0",0.486,0.123,0,0.19,0.529,172.191,180840,229
"84",75,2019-10-18,"pop","dance pop",0.686,0.83,"8",-4.437,"1",0.0369,0.0948,1.33e-06,0.182,0.486,123.032,214634,103
"85",73,2019-05-23,"pop","dance pop",0.618,0.66,"11",-8.14,"0",0.0372,0.0292,2.07e-06,0.325,0.408,105,210944,251
"86",79,2018-10-18,"pop","dance pop",0.665,0.699,"11",-5.265,"1",0.0578,0.423,0,0.0969,0.585,124.896,190932,468
"87",74,2018-03-16,"pop","dance pop",0.661,0.725,"6",-4.859,"1",0.0563,0.0253,0,0.123,0.605,119.927,197939,684
"88",63,2019-03-01,"pop","dance pop",0.571,0.752,"3",-4.872,"1",0.0293,0.0196,6.92e-05,0.114,0.25,102.043,192941,334
"89",79,2019-04-19,"pop","dance pop",0.591,0.705,"9",-6.519,"0",0.079,0.381,0.000116,0.131,0.27,121.799,215316,285
"90",16,2018-11-09,"pop","dance pop",0.652,0.898,"7",-4.481,"0",0.0361,0.29,0,0.073,0.472,114.043,193377,446
"91",75,2018-09-27,"pop","dance pop",0.706,0.855,"10",-5.377,"1",0.215,0.0911,0,0.347,0.293,107.184,201253,489
"92",75,2019-08-16,"pop","dance pop",0.404,0.806,"2",-4.75,"1",0.0496,0.198,0,0.114,0.112,148.036,220730,166
"93",55,2019-07-12,"pop","dance pop",0.876,0.856,"4",-3.884,"1",0.0486,0.0812,1.29e-06,0.457,0.685,121.991,185062,201
"94",30,2019-04-10,"pop","dance pop",0.802,0.645,"5",-6.181,"0",0.0715,0.272,0,0.119,0.376,100.001,157202,294
"95",62,2019-07-12,"pop","dance pop",0.906,0.832,"5",-3.004,"0",0.0718,0.0909,0,0.152,0.751,104.03,159753,201
"96",84,2018-01-23,"pop","dance pop",0.753,0.657,"7",-3.061,"1",0.0449,0.171,0,0.112,0.437,107.01,184732,736
"97",70,2019-09-27,"pop","dance pop",0.693,0.674,"5",-4.449,"1",0.0723,0.185,0,0.0639,0.378,95.972,160998,124
"98",37,2019-07-12,"pop","dance pop",0.672,0.815,"1",-6.476,"0",0.0981,0.00246,0,0.577,0.341,115.033,226093,201
"99",70,2019-10-24,"pop","dance pop",0.581,0.76,"0",-3.962,"1",0.0406,0.16,0,0.183,0.523,104.099,205787,97
"100",74,2019-05-13,"pop","dance pop",0.643,0.594,"2",-5.453,"1",0.0318,0.0128,0,0.118,0.442,144.033,216668,261
"101",85,2019-01-18,"pop","dance pop",0.674,0.881,"9",-2.853,"1",0.147,0.296,3.01e-06,0.0793,0.234,98.994,178480,376
"102",36,2019-06-18,"pop","dance pop",0.691,0.538,"0",-9.952,"1",0.103,0.246,0.163,0.178,0.329,99.972,182668,225
"103",52,2019-09-06,"pop","dance pop",0.661,0.758,"7",-5.299,"1",0.0864,0.0797,0,0.106,0.387,114.098,224061,145
"104",58,2019-10-11,"pop","dance pop",0.653,0.69,"1",-5.003,"1",0.0756,0.109,0,0.136,0.652,110.214,178501,110
"105",72,2019-06-14,"pop","dance pop",0.734,0.693,"0",-6.474,"1",0.0361,0.0878,0,0.341,0.55,110.021,154024,229
"106",64,2018-08-31,"pop","dance pop",0.663,0.696,"11",-5.994,"1",0.0349,0.0563,6.25e-06,0.226,0.449,139.98,197880,516
"107",63,2019-01-25,"pop","dance pop",0.55,0.899,"5",-3.284,"0",0.0458,0.0113,9.65e-05,0.137,0.408,125.85,170079,369
"108",77,2017-03-02,"pop","dance pop",0.703,0.868,"7",-4.661,"0",0.0291,0.15,0.132,0.104,0.733,121.03,193613,1063
"109",76,2019-02-21,"pop","dance pop",0.44,0.635,"11",-6.385,"1",0.0326,0.129,0,0.121,0.327,128.133,207095,342
"110",74,2017-03-03,"pop","dance pop",0.625,0.707,"2",-4.761,"1",0.0337,0.22,0,0.213,0.479,138.064,248156,1062
"111",56,2019-07-12,"pop","dance pop",0.625,0.719,"4",-5.541,"1",0.0612,0.048,0,0.0668,0.326,101.091,202072,201
"112",77,2019-10-25,"pop","dance pop",0.547,0.795,"8",-3.721,"1",0.0489,0.145,0,0.11,0.723,118.118,186805,96
"113",71,2019-02-14,"pop","dance pop",0.673,0.596,"10",-7.891,"1",0.0354,0.166,0,0.11,0.19,123.969,208567,349
"114",64,2019-05-17,"pop","dance pop",0.699,0.633,"6",-6.547,"1",0.0362,0.0453,0,0.101,0.458,123.449,184533,257
"115",82,2019-05-31,"pop","dance pop",0.647,0.726,"3",-4.389,"0",0.0552,0.157,0,0.0844,0.767,114.996,198996,243
"116",81,2018-09-06,"pop","dance pop",0.588,0.67,"0",-6.439,"1",0.0473,0.0104,3.33e-06,0.338,0.505,118.159,238173,510
"117",41,2018-01-25,"pop","dance pop",0.655,0.427,"2",-11.684,"0",0.0799,0.295,0.00108,0.0788,0.224,107.992,215446,734
"118",62,2018-12-07,"pop","dance pop",0.79,0.865,"6",-4.159,"1",0.0438,0.0264,0.0892,0.24,0.362,122.99,189165,418
"119",5,2019-02-27,"pop","dance pop",0.611,0.737,"0",-5.154,"0",0.0476,0.0145,0,0.107,0.574,124.169,200318,336
"120",72,2019-10-25,"pop","dance pop",0.726,0.763,"4",-6.872,"1",0.0882,0.524,2.64e-06,0.0943,0.516,128.02,160312,96
"121",24,2019-08-16,"pop","dance pop",0.714,0.705,"10",-6.479,"1",0.0995,0.292,0.000386,0.126,0.471,114.994,219521,166
"122",58,2017-10-13,"pop","dance pop",0.619,0.938,"5",-5.245,"1",0.35,0.0257,1.39e-05,0.128,0.601,94.38,207428,838
"123",65,2019-07-12,"pop","dance pop",0.575,0.808,"1",-4.578,"1",0.0439,0.0446,0,0.0693,0.232,127.922,179531,201
"124",64,2019-03-08,"pop","dance pop",0.768,0.808,"5",-1.818,"1",0.112,0.00627,5.33e-06,0.343,0.664,119.971,166000,327
"125",53,2019-08-09,"pop","dance pop",0.767,0.605,"6",-5.737,"0",0.188,0.559,0.000363,0.193,0.657,107.042,203200,173
"126",72,2019-08-16,"pop","dance pop",0.466,0.612,"8",-4.855,"0",0.0307,0.0655,4.07e-06,0.132,0.236,128.114,239067,166
"127",39,2019-04-12,"pop","dance pop",0.434,0.917,"9",-3.613,"0",0.0633,0.301,1.8e-05,0.289,0.622,121.967,147554,292
"128",75,2019-04-05,"pop","dance pop",0.744,0.79,"8",-4.617,"0",0.0562,0.0547,0.000802,0.32,0.847,125.002,188640,299
"129",60,2019-05-30,"pop","dance pop",0.837,0.818,"8",-4.474,"0",0.0533,0.0527,0.00642,0.11,0.484,109.993,157159,244
"130",18,2019-08-02,"pop","dance pop",0.514,0.856,"2",-4.285,"1",0.0717,0.00123,6.34e-06,0.544,0.351,117.014,228502,180
"131",79,2017-02-23,"pop","dance pop",0.69,0.622,"5",-5.025,"0",0.0622,0.253,0,0.116,0.544,102.04,210091,1070
"132",60,2019-10-25,"pop","dance pop",0.466,0.869,"3",-4.275,"1",0.0529,0.0142,0.00241,0.115,0.185,126.113,187150,96
"133",83,2018-09-28,"pop","dance pop",0.842,0.801,"8",-4.167,"0",0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500,488
"134",85,2016-07-29,"pop","dance pop",0.748,0.524,"8",-5.599,"1",0.0338,0.414,0,0.111,0.661,95.01,244960,1279
"135",47,2014-10-13,"pop","dance pop",0.647,0.624,"9",-8.446,"1",0.0451,0.025,0.056,0.0616,0.477,115.002,243091,1934
"136",74,2012-01-01,"pop","dance pop",0.509,0.781,"8",-3.48,"1",0.072,0.0398,0,0.0749,0.176,128,271427,2950
"137",80,2018-05-17,"pop","dance pop",0.737,0.636,"11",-4.546,"0",0.0437,0.0441,6.66e-05,0.35,0.565,105.005,222653,622
"138",81,2017-01-27,"pop","dance pop",0.584,0.54,"1",-7.786,"0",0.0576,0.0895,0,0.261,0.195,137.972,220883,1097
"139",76,2017-08-17,"pop","dance pop",0.743,0.733,"8",-5.337,"1",0.0375,0.00402,0,0.304,0.622,104.977,189467,895
"140",96,2019-10-12,"pop","dance pop",0.721,0.716,"10",-7.037,"0",0.0657,0.0334,0.00084,0.237,0.667,104.994,221714,109
"141",84,2018-08-17,"pop","dance pop",0.781,0.768,"11",-5.991,"1",0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309,530
"142",86,2019-09-13,"pop","dance pop",0.737,0.828,"11",-4.711,"1",0.0396,0.0149,0.000583,0.0862,0.517,124.052,208474,138
"143",68,2017-02-10,"pop","dance pop",0.57,0.763,"1",-4.137,"1",0.0573,0.0857,2.49e-06,0.0932,0.43,150.088,239853,1083
"144",66,2017-06-09,"pop","dance pop",0.551,0.651,"8",-5.828,"0",0.0594,0.225,0,0.224,0.562,144.875,194907,964
"145",83,2017-04-07,"pop","dance pop",0.617,0.635,"11",-6.769,"0",0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160,1027
"146",85,2018-04-06,"pop","dance pop",0.791,0.862,"9",-3.24,"0",0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847,663
"147",73,2015-05-26,"pop","dance pop",0.503,0.748,"5",-4.124,"1",0.0619,0.0305,0,0.343,0.356,125.896,210013,1709
"148",69,2017-02-17,"pop","dance pop",0.64,0.533,"0",-6.596,"1",0.0706,0.119,0,0.0864,0.515,99.968,220781,1076
"149",69,2012-01-01,"pop","dance pop",0.658,0.677,"5",-6.628,"1",0.0393,0.248,0,0.368,0.248,124.91,251627,2950
"150",81,2016-08-05,"pop","dance pop",0.649,0.716,"8",-5.371,"1",0.0349,0.0863,2.63e-05,0.135,0.163,99.988,205947,1272
"151",73,2015-06-16,"pop","dance pop",0.713,0.802,"4",-7.055,"1",0.0561,0.0435,0.00377,0.309,0.343,100.001,226739,1688
"152",61,NA,"pop","dance pop",0.596,0.738,"8",-3.109,"1",0.0411,0.109,0,0.0947,0.461,127.961,217347,NA
"153",19,2013-01-01,"pop","dance pop",0.503,0.727,"1",-5.456,"1",0.167,0.0159,9.45e-05,0.0895,0.521,121.985,255632,2584
"154",57,2018-09-14,"pop","dance pop",0.609,0.726,"5",-4.346,"0",0.0414,0.0723,8.45e-06,0.0895,0.362,93.958,195000,502
"155",81,2015-11-13,"pop","dance pop",0.654,0.76,"0",-3.669,"0",0.045,0.0797,0,0.299,0.41,99.945,200787,1538
"156",79,2016-04-29,"pop","dance pop",0.63,0.928,"9",-2.787,"0",0.0331,0.199,0.124,0.148,0.465,123.963,222160,1370
"157",84,2013-01-01,"pop","dance pop",0.532,0.783,"2",-5.697,"1",0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,2584
"158",84,2018-06-08,"pop","dance pop",0.694,0.77,"6",-5.335,"1",0.149,0.176,1.1e-05,0.118,0.163,125.905,184560,600
"159",66,2011-08-26,"pop","dance pop",0.604,0.787,"0",-3.674,"0",0.103,0.0679,0.15,0.127,0.301,126.062,245040,3078
"160",8,2015-11-13,"pop","dance pop",0.432,0.74,"7",-5.053,"1",0.062,0.0342,6.59e-06,0.14,0.193,139.42,242520,1538
"161",64,2010-01-01,"pop","dance pop",0.638,0.832,"8",-5.039,"1",0.049,0.141,0,0.113,0.648,124.071,227893,3680
"162",61,2017-09-28,"pop","dance pop",0.759,0.716,"11",-6.36,"0",0.0818,0.0223,0,0.231,0.469,105.009,209733,853
"163",27,2012-01-01,"pop","dance pop",0.614,0.832,"11",-3.419,"0",0.0522,0.11,0,0.185,0.429,129.038,213169,2950
"164",74,2016-09-23,"pop","dance pop",0.669,0.832,"0",-5.72,"1",0.0682,0.0106,0,0.0968,0.7,113.035,237547,1223
"165",57,2012-01-01,"pop","dance pop",0.702,0.781,"0",-4.081,"1",0.03,0.433,0,0.135,0.382,102.997,286322,2950
"166",69,2008-01-01,"pop","dance pop",0.851,0.806,"4",-4.618,"1",0.0786,0.12,1.33e-06,0.121,0.776,119.001,237200,4411
"167",77,2015-07-17,"pop","dance pop",0.738,0.868,"11",-4.373,"0",0.0731,0.0389,0.00171,0.388,0.336,122.003,212640,1657
"168",74,2020-01-10,"pop","dance pop",0.57,0.672,"8",-5.89,"0",0.0723,0.177,0,0.0768,0.448,120.019,208222,19
"169",5,2019-09-27,"pop","dance pop",0.67,0.89,"5",-3.785,"0",0.0576,0.122,0,0.333,0.568,124.967,206440,124
"170",57,2019-09-12,"pop","dance pop",0.708,0.727,"9",-7.647,"1",0.0389,0.0201,0.676,0.37,0.512,120.012,231480,139
"171",68,2019-12-20,"pop","dance pop",0.654,0.787,"4",-4.999,"1",0.0502,0.00515,0,0.144,0.409,123.978,164490,40
"172",65,2019-07-26,"pop","dance pop",0.945,0.584,"6",-7.649,"0",0.044,0.0955,0.341,0.147,0.626,124.996,168547,187
"173",58,2019-01-25,"pop","dance pop",0.704,0.929,"0",-4.447,"1",0.0395,0.0395,0.0249,0.181,0.633,126.055,155238,369
"174",81,2019-07-05,"pop","dance pop",0.765,0.906,"8",-2.097,"0",0.0965,0.125,0,0.423,0.95,96.071,184558,208
"175",68,2020-01-10,"pop","dance pop",0.682,0.855,"7",-3.282,"1",0.0401,0.0566,1e-06,0.101,0.304,124.004,198743,19
"176",43,2019-06-21,"pop","dance pop",0.627,0.662,"7",-7.104,"0",0.0349,0.0922,0.000166,0.143,0.596,124.039,159194,222
"177",57,2019-12-20,"pop","dance pop",0.762,0.736,"7",-7.66,"1",0.0778,0.135,0.0538,0.113,0.248,126.007,165714,40
"178",58,2019-07-19,"pop","dance pop",0.577,0.844,"7",-3.364,"1",0.0406,0.00407,6.13e-06,0.499,0.283,115.066,183653,194
"179",58,2019-12-19,"pop","dance pop",0.632,0.816,"8",-4.584,"1",0.0349,0.00205,0.106,0.119,0.134,127.95,202500,41
"180",91,2019-10-11,"pop","dance pop",0.598,0.526,"10",-8.659,"0",0.0415,0.129,0,0.14,0.529,123.935,168387,110
"181",67,2019-07-19,"pop","dance pop",0.825,0.841,"0",-6.433,"1",0.135,0.0906,0.00411,0.258,0.616,126.026,184582,194
"182",42,2019-09-19,"pop","dance pop",0.63,0.731,"6",-4.985,"1",0.0352,0.0191,7.82e-06,0.704,0.46,119.997,240000,132
"183",70,2019-08-29,"pop","dance pop",0.795,0.899,"0",-4.202,"1",0.0685,0.00235,0.000392,0.199,0.329,125.978,198839,153
"184",64,2017-04-28,"pop","dance pop",0.529,0.717,"6",-7.049,"0",0.24,0.123,0.000707,0.0363,0.481,103.99,257943,1006
"185",79,2018-11-02,"pop","dance pop",0.7,0.872,"10",-5.896,"1",0.0666,0.121,7.08e-06,0.103,0.761,125.03,190302,453
"186",48,2020-01-10,"pop","dance pop",0.791,0.541,"1",-7.14,"1",0.054,0.123,4.74e-05,0.121,0.433,115.987,154654,19
"187",53,2019-12-20,"pop","dance pop",0.904,0.633,"0",-5.545,"1",0.0958,0.203,0.000266,0.163,0.492,121.995,179016,40
"188",75,2019-12-13,"pop","dance pop",0.744,0.725,"11",-6.055,"1",0.0303,0.018,9.29e-06,0.212,0.904,118.034,167859,47
"189",46,2019-11-08,"pop","dance pop",0.772,0.687,"9",-6.348,"0",0.211,0.0528,0,0.834,0.59,118.116,154286,82
"190",67,2019-10-04,"pop","dance pop",0.706,0.524,"6",-8.804,"1",0.026,0.127,0.00129,0.109,0.296,111.991,183183,117
"191",65,2019-12-18,"pop","dance pop",0.664,0.699,"11",-7.115,"0",0.27,0.0352,0,0.0612,0.252,122.019,216256,42
"192",56,2019-12-20,"pop","dance pop",0.781,0.745,"1",-4.942,"0",0.0374,0.0814,9.71e-05,0.106,0.498,110.051,158091,40
"193",42,2019-08-28,"pop","dance pop",0.789,0.547,"9",-8.738,"0",0.0748,0.072,9.21e-05,0.0782,0.48,120.024,203227,154
"194",58,2019-10-25,"pop","dance pop",0.575,0.808,"1",-4.578,"1",0.0439,0.0446,0,0.0693,0.232,127.922,179531,96
